itemID,category,definition,choices,item,type,gloss,uni_lemma
item_1,sounds,au/ai(pijn),understands;produces,au/ai(pijn),word,ouch,ouch
item_2,sounds,behbeh(schaap),understands;produces,behbeh(schaap),word,baa baa,baa baa
item_3,sounds,beu/boe/meu/moeh(koe),understands;produces,beu/boe/meu/moeh(koe),word,moo,moo
item_4,sounds,blubblub(vis),understands;produces,blubblub(vis),word,NA,NA
item_5,sounds,grrr(grommen),understands;produces,grrr(grommen),word,rawr,roar
item_6,sounds,hallo(telefoon),understands;produces,hallo(telefoon),word,hello,hello
item_7,sounds,ie-aaie-aa(ezel),understands;produces,ie-aaie-aa(ezel),word,hee-haw,hee haw
item_8,sounds,juujuu/huuhuu(paard),understands;produces,juujuu/huuhuu(paard),word,neigh,neigh
item_9,sounds,knorknor/ngrngr(varken),understands;produces,knorknor/ngrngr(varken),word,oink,oink
item_10,sounds,kukelukuu(haan),understands;produces,kukelukuu(haan),word,cock-a-doodle-doo,cock-a-doodle-doo
item_11,sounds,kwakkwak(eend),understands;produces,kwakkwak(eend),word,quack quack,quack quack
item_12,sounds,miauw/mauw(poes),understands;produces,miauw/mauw(poes),word,meow,meow
item_13,sounds,mjammjam(lekker),understands;produces,mjammjam(lekker),word,yum yum,yum yum
item_14,sounds,ohooh(verbazing),understands;produces,ohooh(verbazing),word,NA,wow
item_15,sounds,pieppiep(muis),understands;produces,pieppiep(muis),word,squeak,squeak
item_16,sounds,ssss(slang),understands;produces,ssss(slang),word,hiss,hiss
item_17,sounds,tiktak(klok),understands;produces,tiktak(klok),word,tick-tock,tick tock
item_18,sounds,tjoek(e)tjoek(trein),understands;produces,tjoek(e)tjoek(trein),word,choo choo,choo choo
item_19,sounds,tuutatuuta(ziekenwagen/ziekenauto/brandweer/politieauto),understands;produces,tuutatuuta(ziekenwagen/ziekenauto/brandweer/politieauto),word,nee-naw,NA
item_20,sounds,vroem/broem(auto),understands;produces,vroem/broem(auto),word,vroom,vroom
item_21,sounds,wafwaf(hond),understands;produces,wafwaf(hond),word,woof woof,woof woof
item_22,animals,aap,understands;produces,aap,word,monkey,monkey
item_23,animals,beer,understands;produces,beer,word,bear,bear
item_24,animals,bij(dier),understands;produces,bij(dier),word,bee,bee
item_25,animals,dier/beest,understands;produces,dier/beest,word,animal/beast,animal
item_26,animals,eend,understands;produces,eend,word,duck,duck
item_27,animals,egel,understands;produces,egel,word,hedgehog,hedgehog
item_28,animals,ezel,understands;produces,ezel,word,donkey,donkey
item_29,animals,geit,understands;produces,geit,word,goat,goat
item_30,animals,giraf,understands;produces,giraf,word,giraffe,giraffe
item_31,animals,haan,understands;produces,haan,word,chicken (animal),chicken (animal)
item_32,animals,hamster/cavia,understands;produces,hamster/cavia,word,hamster/cavia,rat
item_33,animals,hert/Bambi,understands;produces,hert/Bambi,word,deer,deer
item_34,animals,hond(je),understands;produces,hond(je),word,(little) dog,dog
item_35,animals,kat/poes(je),understands;produces,kat/poes(je),word,(little) cat,cat
item_36,animals,kikker,understands;produces,kikker,word,frog,frog
item_37,animals,kip(dier),understands;produces,kip(dier),word,chicken (animal),chicken (animal)
item_38,animals,koe,understands;produces,koe,word,cow,cow
item_39,animals,konijn(tje),understands;produces,konijn(tje),word,(little) bunny,bunny
item_40,animals,krokodil,understands;produces,krokodil,word,crocodile,crocodile
item_41,animals,lam(metje),understands;produces,lam(metje),word,(little) lamb,lamb
item_42,animals,leeuw,understands;produces,leeuw,word,lion,lion
item_43,animals,luipaard,understands;produces,luipaard,word,leopard,leopard
item_44,animals,mier,understands;produces,mier,word,ant,ant
item_45,animals,mug/vlieg,understands;produces,mug/vlieg,word,mosquito/fly,mosquito
item_46,animals,muis,understands;produces,muis,word,mouse,mouse
item_47,animals,olifant,understands;produces,olifant,word,elephant,elephant
item_48,animals,paard,understands;produces,paard,word,horse,horse
item_49,animals,panter,understands;produces,panter,word,panther,panther
item_50,animals,papegaai,understands;produces,papegaai,word,parrot,parrot
item_51,animals,pinguin/Pingu,understands;produces,pinguin/Pingu,word,penguin,penguin
item_52,animals,pony,understands;produces,pony,word,pony,pony
item_53,animals,rups,understands;produces,rups,word,caterpillar,caterpillar
item_54,animals,schaap,understands;produces,schaap,word,sheep,sheep
item_55,animals,schildpad,understands;produces,schildpad,word,turtle,turtle
item_56,animals,slang,understands;produces,slang,word,snake,snake
item_57,animals,spin,understands;produces,spin,word,spider,spider
item_58,toys,teddybeer,understands;produces,teddybeer,word,teddybear,teddybear
item_59,animals,tijger,understands;produces,tijger,word,tiger,tiger
item_60,animals,uil,understands;produces,uil,word,owl,owl
item_61,animals,varken,understands;produces,varken,word,pig,pig
item_62,animals,vis(dier),understands;produces,vis(dier),word,fish,fish (animal)
item_63,animals,vlinder,understands;produces,vlinder,word,butterfly,butterfly
item_64,animals,vogel,understands;produces,vogel,word,bird,bird
item_65,animals,vos,understands;produces,vos,word,fox,fox
item_66,animals,wolf,understands;produces,wolf,word,wolf,wolf
item_67,animals,zebra,understands;produces,zebra,word,zebra,zebra
item_68,vehicles,auto,understands;produces,auto,word,car,car
item_69,vehicles,boot,understands;produces,boot,word,boat,boat
item_70,vehicles,brandweerwagen/brandweerauto,understands;produces,brandweerwagen/brandweerauto,word,fire truck,firetruck
item_71,vehicles,brommer/bromfiets/moto(r)/motorfiets,understands;produces,brommer/bromfiets/moto(r)/motorfiets,word,motorcycle,motorcycle
